text,size
romney,7
obama,4
voting,3
#romney,3
#election,3
#forward,3
#ryan,3
#obama,3
united,2
offices,2
numbers,2
srhxk,2
suppression,2
abcn,2
abc,2
redyys,2
democracy,2
field,2
campaign,2
voter,2
squeezes,2
assault,1
switches,1
pic,1
twitter,1
rights,1
ws,1
vote,1
mxu,1
#p,1
pennsylvania,1
watch,1
machine,1
huff,1
citizens,1
