text,size
election,7
voted,5
watching,5
men,5
cares,2
tweets,2
woo,2
celebs,2
#election,1
#australiansupport,1
#voteobama,1
hands,1
blog,1
twt,1
ana,1
bizjournals,1
barackobama,1
results,1
win,1
stlouis,1
